SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
LG-WD1854,"Shaker Lunar Gray - Wall With Drawer Cabinet-18""W x 54""H x 12""D- 1D, 2 DRW -2S",605,LG-DS-WD1854,Door Set LG-WD1854,34.75611118,199,UBX-WD1854,Cabinet Box for WD1854,70.50076801,406
LG-WD1860,"Shaker Lunar Gray - Wall With Drawer Cabinet-18""W x 60""H x 12""D- 1D, 2 DRW -3S",652,LG-DS-WD1860,Door Set LG-WD1860,37.63353058,222,UBX-WD1860,Cabinet Box for WD1860,72.63300394,430
LG-WER2430,"Shaker Lunar Gray - Wall Easy Reach Corner Cabinet - 24"" W X 30"" H X 12"" D - 2D - 2S",503,LG-DS-WER2430,Door Set LG-WER2430,25.03372405,161,UBX-WER2430,Cabinet Box for WER2430,52.75505789,342
LG-WER2436,"Shaker Lunar Gray - Wall Easy Reach Corner Cabinet - 24"" W X 36"" H X 12"" D - 2D - 2S",604,LG-DS-WER2436,Door Set LG-WER2436,28.25044499,196,UBX-WER2436,Cabinet Box for WER2436,58.76812591,408
LG-WER2442,"Shaker Lunar Gray - Wall Easy Reach Corner Cabinet - 24"" W X 42"" H X 12"" D - 2D - 2S",708,LG-DS-WER2442,Door Set LG-WER2442,31.48832856,231,UBX-WER2442,Cabinet Box for WER2442,64.8207536,477
LG-O308424,"Shaker Lunar Gray - Oven Cabinet - 30""W x 84""H X 24""D - 2D, 3DRW, 1S",1619,LG-DS-O308424,Door Set LG-O308424,81.298723,589,UBX-O308424,Cabinet Box for O308424,141.9177295,1030
LG-O309024,"Shaker Lunar Gray - Oven Cabinet - 30""W x 90""H X 24""D - 2D, 3DRW, 1S",1694,LG-DS-O309024,Door Set LG-O309024,80.15084799,554,UBX-O309024,Cabinet Box for O309024,164.7778978,1140
LG-O309624,"Shaker Lunar Gray - Oven Cabinet - 30""W x 96""H X 24""D - 2D, 3DRW, 1S",1827,LG-DS-O309624,Door Set LG-O309624,84.89282502,611,UBX-O309624,Cabinet Box for O309624,168.621791,1216
LG-O338424,"Shaker Lunar Gray - Oven Cabinet - 33""W x 84""H X 24""D - 2D, 3DRW, 1S",1699,LG-DS-O338424,Door Set LG-O338424,81.13022847,565,UBX-O338424,Cabinet Box for O338424,162.4955446,1134
LG-O339024,"Shaker Lunar Gray - Oven Cabinet - 33""W x 90""H X 24""D - 2D, 3DRW, 1S",1778,LG-DS-O339024,Door Set LG-O339024,86.67953319,592,UBX-O339024,Cabinet Box for O339024,173.2210278,1186
LG-O339624,"Shaker Lunar Gray - Oven Cabinet - 33""W x 96""H X 24""D - 2D, 3DRW, 1S",1938,LG-DS-O339624,Door Set LG-O339624,91.74851312,661,UBX-O339624,Cabinet Box for O339624,177.2009561,1277
LG-U188424,"Shaker Lunar Gray - Wall Pantry - 18""W x 84""H x 24""D - 2D, 5S",1101,LG-DS-U188424,Door Set LG-U188424,49.62545311,423,UBX-U188424,Cabinet Box for U188424,79.47439762,678
LG-U189024,"Shaker Lunar Gray - Wall Pantry - 18""W x 90""H x 24""D - 2D, 5S",1136,LG-DS-U189024,Door Set LG-U189024,52.61354248,441,UBX-U189024,Cabinet Box for U189024,82.81205831,695
LG-U189624,"Shaker Lunar Gray - Wall Pantry - 18""W x 96""H x 24""D - 2D, 5S",1187,LG-DS-U189624,Door Set LG-U189624,56.56116489,470,UBX-U189624,Cabinet Box for U189624,86.20235492,717
LG-U248424,"Shaker Lunar Gray - Wall Pantry - 24""W x 84""H x 24""D - 4D, 5S",1321,LG-DS-U248424,Door Set LG-U248424,71.3340264,575,UBX-U248424,Cabinet Box for U248424,92.2906212,746
LG-U249024,"Shaker Lunar Gray - Wall Pantry - 24""W x 90""H x 24""D - 4D, 5S",1370,LG-DS-U249024,Door Set LG-U249024,75.52277394,604,UBX-U249024,Cabinet Box for U249024,95.76166813,766
LG-U249624,"Shaker Lunar Gray - Wall Pantry - 24""W x 96""H x 24""D - 4D, 5S",1438,LG-DS-U249624,Door Set LG-U249624,81.63058758,648,UBX-U249624,Cabinet Box for U249624,99.33798688,790
LG-U308424,"Shaker Lunar Gray - Wall Pantry - 30""W x 84""H x 24""D - 4D, 5S",1635,LG-DS-U308424,Door Set LG-U308424,81.298723,704,UBX-U308424,Cabinet Box for U308424,107.497745,931
LG-U309024,"Shaker Lunar Gray - Wall Pantry - 30""W x 90""H x 24""D - 4D, 5S",1711,LG-DS-U309024,Door Set LG-U309024,86.0827007,746,UBX-U309024,Cabinet Box for U309024,111.2996376,965
LG-U309624,"Shaker Lunar Gray - Wall Pantry - 30""W x 96""H x 24""D - 4D, 5S",1805,LG-DS-U309624,Door Set LG-U309624,92.78574448,805,UBX-U309624,Cabinet Box for U309624,115.206802,1000
LG-3VDB12,"Shaker Lunar Gray - Vanity Drawer Base Cabinet - 12""W x 34 1/2""H x 21""D - 3 DRW",550,LG-DS-3DB12/3VDB12,Door Set LG-3DB12/3VDB12,15.408,101,UBX-3VDB12,Cabinet Box for 3VDB12,68.14970086,449
LG-3VDB15,"Shaker Lunar Gray - Vanity Drawer Base Cabinet - 15""W x 34 1/2""H x 21""D - 3 DRW",599,LG-DS-3DB15/3VDB15,Door Set LG-3DB15/3VDB15,18.216,120,UBX-3VDB15,Cabinet Box for 3VDB15,72.25302026,479
LG-3VDB18,"Shaker Lunar Gray - Vanity Drawer Base Cabinet - 18""W x 34 1/2""H x 21""D - 3 DRW",648,LG-DS-3DB18/3VDB18,Door Set LG-3DB18/3VDB18,21.024,139,UBX-3VDB18,Cabinet Box for 3VDB18,76.35633966,509
LG-3VDB21,"Shaker Lunar Gray - Vanity Drawer Base Cabinet - 21""W x 34 1/2""H x 21""D - 3 DRW",687,LG-DS-3DB21/3VDB21,Door Set LG-3DB21/3VDB21,23.841,157,UBX-3VDB21,Cabinet Box for 3VDB21,80.45965906,530
LG-3VDB24,"Shaker Lunar Gray - Vanity Drawer Base Cabinet - 24""W x 34 1/2""H x 21""D - 3 DRW",765,LG-DS-3DB24/3VDB24,Door Set LG-3DB24/3VDB24,26.685,182,UBX-3VDB24,Cabinet Box for 3VDB24,85.08929109,583
LG-V3021DL,"Shaker Lunar Gray - Vanity Sink Base - 30""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",795,LG-DS-V3021DL,Door Set LG-V3021DL,39.27574441,284,UBX-V3021DL,Cabinet Box for V3021DL,70.39811058,511
LG-V3021DR,"Shaker Lunar Gray - Vanity Sink Base - 30""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",795,LG-DS-V3021DR,Door Set LG-V3021DR,39.27574441,284,UBX-V3021DR,Cabinet Box for V3021DR,70.39811058,511
LG-V3321DL,"Shaker Lunar Gray - Vanity Sink Base - 33""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",825,LG-DS-V3321DL,Door Set LG-V3321DL,41.64270232,294,UBX-V3321DL,Cabinet Box for V3321DL,75.20882226,531
LG-V3321DR,"Shaker Lunar Gray - Vanity Sink Base - 33""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",825,LG-DS-V3321DR,Door Set LG-V3321DR,41.64270232,294,UBX-V3321DR,Cabinet Box for V3321DR,75.20882226,531
LG-V3621DL,"Shaker Lunar Gray - Vanity Sink Base - 36""W x 34 1/2"" x 21""D - 1D, 3 Left DRW",848,LG-DS-V3621DL,Door Set LG-V3621DL,44.03201142,309,UBX-V3621DL,Cabinet Box for V3621DL,76.54206446,539
LG-V3621DR,"Shaker Lunar Gray - Vanity Sink Base - 36""W x 34 1/2"" x 21""D - 1D, 3 Right DRW",848,LG-DS-V3621DR,Door Set LG-V3621DR,44.03201142,309,UBX-V3621DR,Cabinet Box for V3621DR,76.54206446,539
LG-VS24,"Shaker Lunar Gray - Vanity Sink Base Cabinet - 24""W x 34 1/2""H x 21""D",423,LG-DS-VS24,Door Set LG-VS24,29.147219,230,UBX-VS24,Cabinet Box for VS24,24.3777196,193
LG-VS27,"Shaker Lunar Gray - Vanity Sink Base Cabinet - 27""W x 34 1/2""H x 21""D",456,LG-DS-SB27/VS27,Door Set LG-SB27/VS27,31.491,253,UBX-VS27,Cabinet Box for VS27,25.84446652,203
LG-VS30,"Shaker Lunar Gray - Vanity Sink Base Cabinet - 30""W x 34 1/2""H x 21""D",489,LG-DS-SB30/VS30,Door Set LG-SB30/VS30,34.479,282,UBX-VS30,Cabinet Box for VS30,27.46628438,207
LG-VS33,"Shaker Lunar Gray - Vanity Sink Base Cabinet - 33""W x 34 1/2""H x 21""D",528,LG-DS-SB33/VS33,Door Set LG-SB33/VS33,36.828,303,UBX-VS33,Cabinet Box for VS33,28.93303129,225
LG-VS36,"Shaker Lunar Gray - Vanity Sink Base Cabinet - 36""W x 34 1/2""H x 21""D",549,LG-DS-SB36/VS36,Door Set LG-SB36/VS36,39.168,331,UBX-VS36,Cabinet Box for VS36,30.3997782,218
LG-VSD36,"Shaker Lunar Gray - Vanity Sink Drawer Base Cabinet - 36""W x 34 1/2""H x 21""D - 2 DRW, 2D",752,LG-DS-VSD36,Door Set LG-VSD36,40.07917854,321,UBX-VSD36,Cabinet Box for VSD36,53.77020886,431
LG-VSD42,"Shaker Lunar Gray - Vanity Sink Drawer Base Cabinet - 42""W x 34 1/2""H x 21""D - 2 DRW, 2D",839,LG-DS-VSD42,Door Set LG-VSD42,46.58712077,377,UBX-VSD42,Cabinet Box for VSD42,56.84088858,462
LG-VSD48,"Shaker Lunar Gray - Vanity Sink Drawer Base Cabinet - 48""W x 34 1/2""H x 21""D - 2 DRW, 2D",916,LG-DS-VSD48,Door Set LG-VSD48,51.32103659,418,UBX-VSD48,Cabinet Box for VSD48,60.93601883,498
RW-2DB24,"Shaker Rustic Wood - 2-Drawer Base Cabinet - 24""W x 34-1/2""H x 24""D - 2Drw",734,RW-DS-2DB24,Door Set RW-2DB24,25.45376964,196,UBX-2DB24,Cabinet Box for 2DB24,82.46799709,538
RW-2DB30,"Shaker Rustic Wood - 2-Drawer Base Cabinet - 30""W x 34-1/2""H x 24""D - 2Drw",827,RW-DS-2DB30,Door Set RW-2DB30,30.58648549,235,UBX-2DB30,Cabinet Box for 2DB30,91.7436212,592
RW-2DB36,"Shaker Rustic Wood - 2-Drawer Base Cabinet - 36""W x 34-1/2""H x 24""D - 2Drw",895,RW-DS-2DB36,Door Set RW-2DB36,35.71920134,261,UBX-2DB36,Cabinet Box for 2DB36,101.0192453,634
RW-3DB12,"Shaker Rustic Wood - Drawer Base Cabinet - 12""W x 34-1/2""H x 24""D - 3DRW",592,RW-DS-3DB12/3VDB12,Door Set RW-3DB12/3VDB12,15.99788179,130,UBX-3DB12,Cabinet Box for 3DB12,74.56187745,462
RW-3DB15,"Shaker Rustic Wood - Drawer Base Cabinet - 15""W x 34-1/2""H x 24""D - 3DRW",665,RW-DS-3DB15/3VDB15,Door Set RW-3DB15/3VDB15,18.90072921,151,UBX-3DB15,Cabinet Box for 3DB15,78.89616993,514
RW-3DB18,"Shaker Rustic Wood - Drawer Base Cabinet - 18""W x 34-1/2""H x 24""D - 3DRW",707,RW-DS-3DB18/3VDB18,Door Set RW-3DB18/3VDB18,21.80357662,172,UBX-3DB18,Cabinet Box for 3DB18,83.23046241,535
RW-3DB21,"Shaker Rustic Wood - Drawer Base Cabinet - 21""W x 34-1/2""H x 24""D - 3DRW",729,RW-DS-3DB21/3VDB21,Door Set RW-3DB21/3VDB21,24.70642404,192,UBX-3DB21,Cabinet Box for 3DB21,87.5647549,537
RW-3DB24,"Shaker Rustic Wood - Drawer Base Cabinet - 24""W x 34-1/2""H x 24""D - 3DRW",772,RW-DS-3DB24/3VDB24,Door Set RW-3DB24/3VDB24,27.64746682,221,UBX-3DB24,Cabinet Box for 3DB24,91.95607754,551
RW-3DB27,"Shaker Rustic Wood - Drawer Base Cabinet - 27""W x 34-1/2""H x 24""D - 3DRW",832,RW-DS-3DB27,Door Set RW-3DB27,30.55031424,225,UBX-3DB27,Cabinet Box for 3DB27,96.75655756,607
RW-3DB30,"Shaker Rustic Wood - Drawer Base Cabinet - 30""W x 34-1/2""H x 24""D - 3DRW",894,RW-DS-3DB30,Door Set RW-3DB30,33.45316165,249,UBX-3DB30,Cabinet Box for 3DB30,101.5570376,645
RW-3DB33,"Shaker Rustic Wood - Drawer Base Cabinet - 33""W x 34-1/2""H x 24""D - 3DRW",925,RW-DS-3DB33,Door Set RW-3DB33,36.35600907,262,UBX-3DB33,Cabinet Box for 3DB33,106.3575176,663
RW-3DB36,"Shaker Rustic Wood - Drawer Base Cabinet - 36""W x 34-1/2""H x 24""D - 3DRW",983,RW-DS-3DB36,Door Set RW-3DB36,39.25885649,286,UBX-3DB36,Cabinet Box for 3DB36,111.1579976,697
RW-B12,"Shaker Rustic Wood - Base Cabinet - 12""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",396,RW-DS-B12,Door Set RW-B12,16.69814831,132,UBX-B12,Cabinet Box for B12,37.69763953,264
RW-B15,"Shaker Rustic Wood - Base Cabinet - 15""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",447,RW-DS-B15,Door Set RW-B15,19.10646455,155,UBX-B15,Cabinet Box for B15,40.15138423,292
RW-B18,"Shaker Rustic Wood - Base Cabinet - 18""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",483,RW-DS-B18,Door Set RW-B18,21.51478078,175,UBX-B18,Cabinet Box for B18,42.60512893,308
RW-B21,"Shaker Rustic Wood - Base Cabinet - 21""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",532,RW-DS-B21,Door Set RW-B21,23.92309701,198,UBX-B21,Cabinet Box for B21,45.05887363,334
RW-B24,"Shaker Rustic Wood - Base Cabinet - 24""W x 34-1/2""H x 24""D - 2D, 1Drw, 1S",580,RW-DS-B24,Door Set RW-B24,30.05847259,238,UBX-B24,Cabinet Box for B24,47.39304594,342
RW-B27,"Shaker Rustic Wood - Base Cabinet - 27""W x 34-1/2""H x 24""D - 2D, 1Drw, 1S",643,RW-DS-B27,Door Set RW-B27,32.46678882,266,UBX-B27,Cabinet Box for B27,50.24531501,377
RW-B30,"Shaker Rustic Wood - Base Cabinet - 30""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",749,RW-DS-B30,Door Set RW-B30,35.5494283,280,UBX-B30,Cabinet Box for B30,64.98753895,469
RW-B33,"Shaker Rustic Wood - Base Cabinet - 33""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",794,RW-DS-B33,Door Set RW-B33,37.95774453,305,UBX-B33,Cabinet Box for B33,67.86351213,489
RW-B36,"Shaker Rustic Wood - Base Cabinet - 36""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",845,RW-DS-B36,Door Set RW-B36,40.36606076,326,UBX-B36,Cabinet Box for B36,70.73948532,519
RW-B42,"Shaker Rustic Wood - Base Cabinet - 42""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",904,RW-DS-B42,Door Set RW-B42,46.95520903,365,UBX-B42,Cabinet Box for B42,76.37403638,539
RW-BBC36,"Shaker Rustic Wood - Blind Base Corner Cabinet - 33""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 37"" min., 40"" max; Specify Left-hinge or Right Hinge assembly",533,RW-DS-BBC36,Door Set RW-BBC36,31.06985517,219,UBX-BBC36,Cabinet Box for BBC36,48.76768101,314
RW-BBC39,"Shaker Rustic Wood - Blind Base Corner Cabinet - 36""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 40"" min., 43"" max; Specify Left-hinge or Right Hinge assembly",648,RW-DS-BBC39,Door Set RW-BBC39,32.60090098,270,UBX-BBC39,Cabinet Box for BBC39,49.96629785,378
RW-BBC42,"Shaker Rustic Wood - Blind Base Corner Cabinet - 39""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 43"" min., 46"" max; Specify Left-hinge or Right Hinge assembly",759,RW-DS-BBC42,Door Set RW-BBC42,34.16369236,335,UBX-BBC42,Cabinet Box for BBC42,50.97531172,424
RW-BEC24,"Shaker Rustic Wood - Angle Base Cabinet - 24""W x 34-1/2""H x 24""D - 2D",504,RW-DS-BEC24,Door Set RW-BEC24,39.56673351,276,UBX-BEC24,Cabinet Box for BEC24,34.9708578,228
RW-BFH12,"Shaker Rustic Wood - Base Cabinet - Full Height Door-12""W x 34-1/2""H x 24""D - 1D, 1S",305,RW-DS-BFH12/W1230,Door Set RW-BFH12/W1230,15.79140352,125,UBX-BFH12,Cabinet Box for BFH12,24.17872576,180
RW-BFH15,"Shaker Rustic Wood - Base Cabinet - Full Height Door-15""W x 34-1/2""H x 24""D - 1D, 1S",338,RW-DS-BFH15/W1530,Door Set RW-BFH15/W1530,17.83383444,144,UBX-BFH15,Cabinet Box for BFH15,25.99960734,194
RW-BFH18,"Shaker Rustic Wood - Base Cabinet - Full Height Door-18""W x 34-1/2""H x 24""D - 1D, 1S",372,RW-DS-BFH18/W1830,Door Set RW-BFH18/W1830,19.87626537,166,UBX-BFH18,Cabinet Box for BFH18,27.82048892,206
RW-BFH21,"Shaker Rustic Wood - Base Cabinet - Full Height Door-21""W x 34-1/2""H x 24""D - 1D, 1S",408,RW-DS-BFH21/W2130,Door Set RW-BFH21/W2130,21.91869629,186,UBX-BFH21,Cabinet Box for BFH21,29.6413705,222
RW-BFH24,"Shaker Rustic Wood - Base Cabinet - Full Height Door-24""W x 34-1/2""H x 24""D - 2D, 1S",464,RW-DS-BFH24/W2430,Door Set RW-BFH24/W2430,28.36668171,232,UBX-BFH24,Cabinet Box for BFH24,31.39070141,232
RW-BFH27,"Shaker Rustic Wood - Base Cabinet - Full Height Door-27""W x 34-1/2""H x 24""D - 2D, 1S",501,RW-DS-BFH27/W2730,Door Set RW-BFH27/W2730,30.40911263,253,UBX-BFH27,Cabinet Box for BFH27,33.60276343,248
RW-BFH30,"Shaker Rustic Wood - Base Cabinet - Full Height Door-30""W x 34-1/2""H x 24""D - 2D, 1S",538,RW-DS-BFH30/W3030,Door Set RW-BFH30/W3030,32.45154355,276,UBX-BFH30,Cabinet Box for BFH30,35.81482544,262
RW-BFH33,"Shaker Rustic Wood - Base Cabinet - Full Height Door-33""W x 34-1/2""H x 24""D - 2D, 1S",572,RW-DS-BFH33/W3330,Door Set RW-BFH33/W3330,34.49397447,287,UBX-BFH33,Cabinet Box for BFH33,38.02688745,285
RW-BFH36,"Shaker Rustic Wood - Base Cabinet - Full Height Door-36""W x 34-1/2""H x 24""D - 2D, 1S",611,RW-DS-BFH36/W3630,Door Set RW-BFH36/W3630,36.5364054,314,UBX-BFH36,Cabinet Box for BFH36,40.23894946,297
RW-BT09,"Shaker Rustic Wood - Base Cabinet - 9""W x 34-1/2""H x 24""D - 1D",301,RW-DS-BT09/W0930,Door Set RW-BT09/W0930,13.7489726,110,UBX-BT09,Cabinet Box for BT09,22.35784418,191
RW-BWB18,"Shaker Rustic Wood - Base Waste Basket - 18"" x 34 1/2 x 24",641,RW-DS-BWB18,Door Set RW-BWB18,19.89964966,169,UBX-BWB18,Cabinet Box for BWB18,63.4569922,472
RW-CSB36,"Shaker Rustic Wood - Corner Sink Base - 36""W x 34-1/2""H x 24""D",672,RW-DS-CSB36,Door Set RW-CSB36,22.662758,236,UBX-CSB36,Cabinet Box for CSB36,47.08218353,436
RW-DFB18,"Shaker Rustic Wood - Two Drawer Base Cabinet - 18""",547,RW-DS-DFB18,Door Set RW-DFB18,20.02308633,157,UBX-DFB18,Cabinet Box for DFB18,58.04789292,390
RW-ERB33,"Shaker Rustic Wood - Easy Reach Base Cabinet - 33""W x 34-1/2""H - 1D",681,RW-DS-ERB33,Door Set RW-ERB33,26.44935511,247,UBX-ERB33,Cabinet Box for ERB33,52.83444217,434
RW-ERB36,"Shaker Rustic Wood - Easy Reach Base Cabinet - 36""W x 34-1/2""H - 1D",758,RW-DS-ERB36,Door Set RW-ERB36,30.34310211,280,UBX-ERB36,Cabinet Box for ERB36,58.02676477,478
RW-FSB36,"Shaker Rustic Wood - Farm Sink Base - 36""W X 34-1/2""H X 24""D",642,RW-DS-FSB36,Door Set RW-FSB36,34.1672903,363,UBX-SB36/FSB36,Cabinet Box for SB36/FSB36,32.85809989,279
RW-MB30,"Shaker Rustic Wood - Microwave Base Cabinet - 30""W x 34-1/2""H x 24""D -1Drw",693,RW-DS-MB30,Door Set RW-MB30,18.285792,166,UBX-MB30,Cabinet Box for MB30,60.90607545,527
RW-MB33,"Shaker Rustic Wood - Microwave Base Cabinet - 33""W x 34-1/2""H x 24""D -1Drw",745,RW-DS-MB33,Door Set RW-MB33,19.73556281,191,UBX-MB33,Cabinet Box for MB33,64.23768406,554
RW-SB27,"Shaker Rustic Wood - Sink Base - 27""W x 34-1/2""H x 24""D - 1 False Drawer",503,RW-DS-SB27/VS27,Door Set RW-SB27/VS27,32.46678882,276,UBX-SB27,Cabinet Box for SB27,28.09971361,227
RW-SB30,"Shaker Rustic Wood - Sink Base - 30""W x 34-1/2""H x 24""D - 1 False Drawer",552,RW-DS-SB30/VS30,Door Set RW-SB30/VS30,35.5494283,308,UBX-SB30,Cabinet Box for SB30,29.789223,244
RW-SB33,"Shaker Rustic Wood - Sink Base - 33""W x 34-1/2""H x 24""D - 2 False Drawers",589,RW-DS-SB33/VS33,Door Set RW-SB33/VS33,37.95774453,330,UBX-SB33,Cabinet Box for SB33,31.32366145,259
RW-SB36,"Shaker Rustic Wood - Sink Base - 36""W x 34-1/2""H x 24""D - 2 False Drawers",639,RW-DS-SB36/VS36,Door Set RW-SB36/VS36,40.36606076,360,UBX-SB36/FSB36,Cabinet Box for SB36/FSB36,32.85809989,279
RW-AW1230,"Shaker Rustic Wood - Angle Wall Cabinet - 12""W x 30""H x 12""D - 1D -2S",274,RW-DS-AW1230,Door Set RW-AW1230,19.4884099,174,UBX-AW1230,Cabinet Box for AW1230,11.70189066,100
RW-AW1236,"Shaker Rustic Wood - Angle Wall Cabinet - 12""W x 36""H x 12""D - 1D -2S",299,RW-DS-AW1236,Door Set RW-AW1236,22.43910666,193,UBX-AW1236,Cabinet Box for AW1236,12.92431774,106
RW-AW1242,"Shaker Rustic Wood - Angle Wall Cabinet - 12""W x 42""H x 12""D - 1D -3S",322,RW-DS-AW1242,Door Set RW-AW1242,25.40921591,200,UBX-AW1242,Cabinet Box for AW1242,16.33380399,122
RW-DCW2412GD,"Shaker Rustic Wood - Wall Diagonal Glass Door Corner Cabinet - 24""W x 12""H x 12""D - 1D -2S",247,RW-DS-DCW2412GD,Door Set RW-DCW2412GD,12.92693117,102,UBX-DCW2412,Cabinet Box for DCW2412,20.01450914,145
RW-DCW2430,"Shaker Rustic Wood - Wall Diagonal Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",535,RW-DS-DCW2430,Door Set RW-DCW2430,22.29670996,198,UBX-DCW2430,Cabinet Box for DCW2430,42.42337054,337
RW-DCW2430GD,"Shaker Rustic Wood - Wall Diagonal Glass Door Corner Cabinet - 24""W x 30""H x 12""D - 1D -2S",563,RW-DS-DCW2430GD,Door Set RW-DCW2430GD,23.21408522,226,UBX-DCW2430,Cabinet Box for DCW2430,42.42337054,337
RW-DCW2436,"Shaker Rustic Wood - Wall Diagonal Corner Cabinet - 24""W x 36""H x 12""D - 1D- 2S",603,RW-DS-DCW2436,Door Set RW-DCW2436,25.52158868,229,UBX-DCW2436,Cabinet Box for DCW2436,46.21329761,374
RW-DCW2436GD,"Shaker Rustic Wood - Wall Diagonal Glass Door Corner Cabinet - 24""W x 36""H x 12""D - 1D-2S",641,RW-DS-DCW2436GD,Door Set RW-DCW2436GD,26.63563318,267,UBX-DCW2436,Cabinet Box for DCW2436,46.21329761,374
RW-DCW2442,"Shaker Rustic Wood - Wall Diagonal Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",700,RW-DS-DCW2442,Door Set RW-DCW2442,29.69167849,261,UBX-DCW2442,Cabinet Box for DCW2442,56.15577976,439
RW-DCW2442GD,"Shaker Rustic Wood - Wall Diagonal Glass Door Corner Cabinet - 24""W x 42""H x 12""D - 1D -3S",746,RW-DS-DCW2442GD,Door Set RW-DCW2442GD,30.07969132,307,UBX-DCW2442,Cabinet Box for DCW2442,56.15577976,439
RW-MO3030,"Shaker Rustic Wood - Microwave Oven Cabinet - 30""W x 30""H x 12""D - 2D, 1S",617,RW-DS-MO3030,Door Set RW-MO3030,21.36507398,275,UBX-MO3030,Cabinet Box for MO3030,28.81274741,342
RW-MO3036,"Shaker Rustic Wood - Microwave Oven Cabinet - 30""W x 36""H x 12""D - 2D, 1S",714,RW-DS-MO3036,Door Set RW-MO3036,26.09746508,335,UBX-MO3036,Cabinet Box for MO3036,31.88040936,379
RW-MO3042,"Shaker Rustic Wood - Microwave Oven Cabinet - 30""W x 42""H x 12""D - 2D, 1S",842,RW-DS-MO3042,Door Set RW-MO3042,30.86099034,411,UBX-MO3042,Cabinet Box for MO3042,34.96825329,431
RW-W0930,"Shaker Rustic Wood - Wall Cabinet - 09""W x 30""H x 12""D - 1D -2S",213,RW-DS-BT09/W0930,Door Set RW-BT09/W0930,13.7489726,110,UBX-W0930,Cabinet Box for W0930,13.87404742,103
RW-W0936,"Shaker Rustic Wood - Wall Cabinet - 09""W x 36""H x 12""D - 1D -2S",233,RW-DS-W0936,Door Set RW-W0936,15.84197378,122,UBX-W0936,Cabinet Box for W0936,15.54018639,111
RW-W0942,"Shaker Rustic Wood - Wall Cabinet - 09""W x 42""H x 12""D - 1D - 3S",272,RW-DS-W0942,Door Set RW-W0942,18.87273948,142,UBX-W0942,Cabinet Box for W0942,18.27704797,130
RW-W1212GD,"Shaker Rustic Wood - Wall Cabinet - 12""W x 12""H x 12""D - 1D",127,RW-DS-W1212GD,Door Set RW-W1212GD,8.734032275,70,UBX-W1212,Cabinet Box for W1212,7.63067385,57
RW-W1230,"Shaker Rustic Wood - Wall Cabinet - 12""W x 30""H x 12""D - 1D -2S",240,RW-DS-BFH12/W1230,Door Set RW-BFH12/W1230,15.79140352,125,UBX-W1230,Cabinet Box for W1230,15.57122812,115
RW-W1236,"Shaker Rustic Wood - Wall Cabinet - 12""W x 36""H x 12""D - 1D -2S",274,RW-DS-W1236,Door Set RW-W1236,18.17099699,144,UBX-W1236,Cabinet Box for W1236,17.35282231,130
RW-W1242,"Shaker Rustic Wood - Wall Cabinet - 12""W x 42""H x 12""D - 1D- 3S",316,RW-DS-W1242,Door Set RW-W1242,21.49024046,166,UBX-W1242,Cabinet Box for W1242,20.52633704,150
RW-W1512GD,"Shaker Rustic Wood - Wall Cabinet - 15""W x 12""H x 12""D - 1D",142,RW-DS-W1512GD,Door Set RW-W1512GD,9.959781895,79,UBX-W1512,Cabinet Box for W1512,8.539461111,63
RW-W1530,"Shaker Rustic Wood - Wall Cabinet - 15""W x 30""H x 12""D - 1D -2S",277,RW-DS-BFH15/W1530,Door Set RW-BFH15/W1530,17.83383444,144,UBX-W1530,Cabinet Box for W1530,17.64800811,133
RW-W1530GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 15""W x 30""H x 12""D - 1D -2S",314,RW-DS-W1530GD,Door Set RW-W1530GD,18.40864497,181,UBX-W1530,Cabinet Box for W1530,17.64800811,133
RW-W1536,"Shaker Rustic Wood - Wall Cabinet - 15""W x 36""H x 12""D - 1D -2S",317,RW-DS-W1536,Door Set RW-W1536,20.50002021,167,UBX-W1536,Cabinet Box for W1536,19.60492317,150
RW-W1536GD,"Shaker Rustic Wood - Wall Glass Door Cabinet - 15""W x 36""H x 12""D - 1D -2S",357,RW-DS-W1536GD,Door Set RW-W1536GD,21.2187701,207,UBX-W1536,Cabinet Box for W1536,19.60492317,150
